Release_File,Release_Label,Release_Date,Environment,Release_Status,Is_Hotfix,Deployed_Item_Count,QE_Validation_Notes,Regression_Mentions,Automation_Pass_Rate_%,Flaky_Score,Stability_Trend,Automation_Health
QE Release Notes 2026-20260522112607.csv,QE Release Notes 2026,,Stage,Prod release owner:,False,317,184,13,0,100,DECLINING,CRITICAL
27-Jan26-20260522112613.csv,27-Jan26,,Stage,Good,False,354,192,15,0,100,DECLINING,CRITICAL
2-Feb26-20260522112632.csv,2-Feb26,,Stage,Good,False,320,183,16,0,100,DECLINING,CRITICAL
20-May26-20260522113100.csv,20-May26,,Stage,Good,False,112,11,18,0,100,DECLINING,CRITICAL
22-April26-hotfix2-20260522112943.csv,22-April26-hotfix2,,Stage,Good,True,24,1,8,0,100,DECLINING,CRITICAL
24-Jan26-20260522112618.csv,24-Jan26,,Stage,Good,False,507,232,25,0,100,DECLINING,CRITICAL
12-Jan26-20260522112602.csv,12-Jan26,,Stage,Good,False,466,261,20,0,100,DECLINING,CRITICAL
05-Jan26-20260522112557.csv,05-Jan26,,Stage,Good,False,318,180,14,0,100,DECLINING,CRITICAL
05-Jan26-20260522112519.csv,05-Jan26,,Stage,Good,False,318,180,14,0,100,DECLINING,CRITICAL
12-May26-20260522113043.csv,12-May26,,Stage,Good,False,80,5,18,0,100,DECLINING,CRITICAL
30-Jan26-20260522112627.csv,30-Jan26,,Stage,Good,False,371,203,14,0,100,DECLINING,CRITICAL
29-Jan26-20260522112622.csv,29-Jan26,,Stage,Good,False,317,183,13,0,100,DECLINING,CRITICAL
02-April26-20260522112829.csv,02-April26,,Stage,Prod release owner:,False,103,2,12,0,100,DECLINING,CRITICAL
20-Feb26-20260522112658.csv,20-Feb26,,Stage,Good,False,109,0,9,3,97,DECLINING,CRITICAL
26-March26-20260522112803.csv,26-March26,,Stage,Good,False,75,0,7,19,81,DECLINING,CRITICAL
24-April26-hotfix-20260522112953.csv,24-April26-hotfix,,Stage,Good,True,24,0,3,21,79,DECLINING,CRITICAL
28 Oct25-hotfix-20260522143330.csv,28 Oct25-hotfix,,Stage,Good - Conditional sign-off,True,62,0,3,11,79,DECLINING,CRITICAL
29-July25-hotfix-20260522143025.csv,29-July25-hotfix,,Stage,Good,True,4,0,3,21,79,DECLINING,CRITICAL
31 Oct25-hotfix-20260522143342.csv,31 Oct25-hotfix,,Stage,Good,True,43,0,3,21,79,DECLINING,CRITICAL
06-Aug25-hotfix-20260522143036.csv,06-Aug25-hotfix,,Stage,Good,True,57,16,6,22,78,DECLINING,CRITICAL
08-July25-hotfix-20260522143008.csv,08-July25-hotfix,,Stage,Good,True,100,37,6,22,78,DECLINING,CRITICAL
14-Apr26-20260522112905.csv,14-Apr26,,Stage,Good,False,103,0,6,27,73,DECLINING,CRITICAL
29 Oct25-hotfix-20260522143336.csv,29 Oct25-hotfix,,Stage,Good,True,7,0,2,29,71,DECLINING,CRITICAL
6 Nov25-hotfix-20260522143355.csv,6 Nov25-hotfix,,Stage,Good,True,4,0,2,29,71,DECLINING,CRITICAL
21-April26-20260522112930.csv,21-April26,,Stage,Good,False,21,0,5,35,65,DECLINING,CRITICAL
25-Aug25-hotfix-20260522143058.csv,25-Aug25-hotfix,,Stage,Good,True,38,0,1,37,63,DECLINING,CRITICAL
3-Dec25-hotfix-20260522143457.csv,3-Dec25-hotfix,,Stage,Good,True,3,0,1,37,63,DECLINING,CRITICAL
27-April26-hotfix_2-20260522113001.csv,27-April26-hotfix_2,,Stage,Good,True,2,0,1,37,63,DECLINING,CRITICAL
19-Jun25-hotfix-20260522142947.csv,19-Jun25-hotfix,,Stage,Good,True,41,0,1,37,63,DECLINING,CRITICAL
13-May26-20260522113048.csv,13-May26,,Stage,Good,False,49,2,6,37,63,DECLINING,CRITICAL
01-Apr25-hotfix-20260522142918.csv,01-Apr25-hotfix,,Stage,Good,True,40,0,1,37,63,DECLINING,CRITICAL
07-Apr25-hotfix-20260522142930.csv,07-Apr25-hotfix,,Stage,Good,True,42,0,1,37,63,DECLINING,CRITICAL
28-April26-20260522113006.csv,28-April26,,Stage,Good,False,61,0,4,43,57,DECLINING,CRITICAL
31-March2026-20260522112817.csv,31-March2026,,Stage,Prod release owner:,False,60,0,4,33,57,DECLINING,CRITICAL
22-Nov24-20260522141636.csv,22-Nov24,,Stage,Good,False,32,0,4,43,57,DECLINING,CRITICAL
25-July25(data migration)-20260522143020.csv,25-July25(data migration),,Stage,Good,False,116,17,7,44,56,DECLINING,CRITICAL
09-Jan26-hotfix-20260522112549.csv,09-Jan26-hotfix,,Stage,Good,True,3,0,0,45,55,DECLINING,CRITICAL
16-Apr26-hotfix-20260522112917.csv,16-Apr26-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
27-April26-hotfix-20260522112957.csv,27-April26-hotfix,,Stage,Good,True,2,0,0,45,55,DECLINING,CRITICAL
26-Nov24-hotfix-20260522141642.csv,26-Nov24-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
18-Dec24-hotfix-20260522141725.csv,18-Dec24-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
19-Feb25-hotfix-20260522141830.csv,19-Feb25-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
05-Dec24-hotfix-20260522141705.csv,05-Dec24-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
15-Apr26-hotfix-20260522112914.csv,15-Apr26-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
19th Nov-hotfix-20260522143429.csv,19th Nov-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
20-Apr26-hotfix-20260522112926.csv,20-Apr26-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
20-March26-hotfix-20260522112747.csv,20-March26-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
20-Nov24-hotfix-20260522141624.csv,20-Nov24-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
22-April26-hotfix-20260522112937.csv,22-April26-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
23-Dec25-hotfix-20260522143523.csv,23-Dec25-hotfix,,Stage,Good,True,3,0,0,45,55,DECLINING,CRITICAL
21-April26-hotfix-20260522112934.csv,21-April26-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
02-July25-hotfix-20260522143002.csv,02-July25-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
11-Dec24-hotfix-20260522141712.csv,11-Dec24-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
31-Jan25-hotfix-20260522141807.csv,31-Jan25-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
28-Jan25-hotfix-20260522141812.csv,28-Jan25-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
28-Nov24-hotfix-20260522141647.csv,28-Nov24-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
3-Feb26-hotfix-20260522112636.csv,3-Feb26-hotfix,,Stage,Good,True,0,0,0,45,55,DECLINING,CRITICAL
15 Oct25-hotfix-20260522143242.csv,15 Oct25-hotfix,,Stage,Good,True,8,1,0,50,50,DECLINING,CRITICAL
31-March2026-hotfix-20260522112821.csv,31-March2026-hotfix,,Stage,Prod release owner:,True,10,1,0,40,50,DECLINING,CRITICAL
02-Dec25-hotfix-20260522143451.csv,02-Dec25-hotfix,,Stage,Good,True,2,1,0,50,50,DECLINING,CRITICAL
10 Oct25-hotfix-20260522143248.csv,10 Oct25-hotfix,,Stage,Good,True,3,1,0,50,50,DECLINING,CRITICAL
17-Dec24-20260522141717.csv,17-Dec24,,Stage,Good,False,9,0,3,51,49,WATCH,CRITICAL
31-Dec24-20260522141739.csv,31-Dec24,,Stage,Good,False,46,0,3,51,49,WATCH,CRITICAL
04-May26-20260522113023.csv,04-May26,,Stage,Good,False,30,14,6,52,48,WATCH,CRITICAL
27-Oct25(Sales Release)-20260522143322.csv,27-Oct25(Sales Release),,Stage,Good,False,179,167,6,52,48,WATCH,CRITICAL
21-May26-20260522113104.csv,21-May26,,Stage,Good,False,47,4,5,55,45,WATCH,CRITICAL
07-Apr25-20260522142924.csv,07-Apr25,,Stage,Good,False,32,0,2,59,41,WATCH,CRITICAL
29-April26-20260522113014.csv,29-April26,,Stage,Good,False,84,0,2,59,41,WATCH,CRITICAL
05-May-26-20260522113027.csv,05-May-26,,Stage,Good,False,48,0,2,59,41,WATCH,CRITICAL
08-May-26-20260522113035.csv,08-May-26,,Stage,Good,False,24,0,2,59,41,WATCH,CRITICAL
5 Nov25-20260522143348.csv,5 Nov25,,Stage,Good,False,54,0,2,59,41,WATCH,CRITICAL
25-Nov25-20260522143436.csv,25-Nov25,,Stage,Good,False,100,48,5,60,40,WATCH,AT_RISK
10-Sep25-20260522143133.csv,10-Sep25,,Stage,Good,False,152,51,5,60,40,WATCH,AT_RISK
14-July25-hotfix-20260522143014.csv,14-July25-hotfix,,Stage,Good,True,84,37,1,62,38,WATCH,AT_RISK
01-Aug25-hotfix-20260522143031.csv,01-Aug25-hotfix,,Stage,Good,True,38,16,1,62,38,WATCH,AT_RISK
07-April26-20260522112847.csv,07-April26,,Stage,Prod release owner:,False,39,1,2,54,36,WATCH,CRITICAL
06-feb25-20260522141818.csv,06-feb25,,Stage,Good,False,20,0,1,67,33,WATCH,AT_RISK
02-Dec24-20260522141654.csv,02-Dec24,,Stage,Good,False,12,0,1,67,33,WATCH,AT_RISK
11-Apr25-20260522142938.csv,11-Apr25,,Stage,Prod release owner:,False,20,0,1,57,33,WATCH,CRITICAL
22-Jan25-20260522141757.csv,22-Jan25,,Stage,Good,False,17,0,1,67,33,WATCH,AT_RISK
01-April26-20260522112825.csv,01-April26,,Stage,Prod release owner:,False,21,0,1,57,33,WATCH,CRITICAL
10-Jan25-20260522141751.csv,10-Jan25,,Stage,Good,False,15,0,1,67,33,WATCH,AT_RISK
07-May-26-20260522113031.csv,07-May-26,,Stage,Good,False,76,26,4,68,32,WATCH,AT_RISK
16-Sep25-hotfix-20260522143125.csv,16-Sep25-hotfix,,Stage,Good,True,150,144,0,70,30,WATCH,AT_RISK
23-Sep25-hotfix-20260522143140.csv,23-Sep25-hotfix,,Stage,Good,True,81,77,0,70,30,WATCH,AT_RISK
12-Sep25-hotfix-20260522143116.csv,12-Sep25-hotfix,,Stage,Good,True,133,131,0,70,30,WATCH,AT_RISK
30-Sep25-hotfix-20260522143229.csv,30-Sep25-hotfix,,Stage,Good,True,82,80,0,70,30,WATCH,AT_RISK
13-Aug25-hotfix-20260522143044.csv,13-Aug25-hotfix,,Stage,Good,True,56,16,0,70,30,WATCH,AT_RISK
24-Sep25-hotfix-20260522143223.csv,24-Sep25-hotfix,,Stage,Good,True,29,27,0,70,30,WATCH,AT_RISK
13-Apr26-20260522112900.csv,13-Apr26,,Stage,good,False,0,0,0,75,25,WATCH,AT_RISK
14-May26-20260522113052.csv,14-May26,,Stage,Good,False,6,0,0,75,25,WATCH,AT_RISK
28-Feb25-20260522141841.csv,28-Feb25,,Stage,Good,False,19,0,0,75,25,WATCH,AT_RISK
13th Nov Release(Purchase Release)-20260522143415.csv,13th Nov Release(Purchase Release),,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
03-Sep25-hotifx-20260522143106.csv,03-Sep25-hotifx,,Stage,good,False,0,0,0,75,25,WATCH,AT_RISK
13-Mar25-20260522141847.csv,13-Mar25,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
29-March26-20260522112808.csv,29-March26,,Stage,Good,False,30,0,0,75,25,WATCH,AT_RISK
12th Nov Release-20260522143409.csv,12th Nov Release,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
30- March2026-20260522112812.csv,30- March2026,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
05-Dec24-20260522141700.csv,05-Dec24,,Stage,Good,False,8,0,0,75,25,WATCH,AT_RISK
10-April26-20260522112856.csv,10-April26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
12-Feb26-20260522112648.csv,12-Feb26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
12-Feb25-20260522141824.csv,12-Feb25,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
5-Feb26-20260522112642.csv,5-Feb26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
11-March26-20260522112726.csv,11-March26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
7th Nov Release-20260522143400.csv,7th Nov Release,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
08-Jan25-20260522141744.csv,08-Jan25,,Stage,Good,False,60,0,0,75,25,WATCH,AT_RISK
15-Apr26-20260522112910.csv,15-Apr26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
24-March26-20260522112758.csv,24-March26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
18-March26-20260522112738.csv,18-March26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
20-Dec24-20260522141733.csv,20-Dec24,,Stage,Good,False,40,0,0,75,25,WATCH,AT_RISK
09-April26-20260522112852.csv,09-April26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
23-April26-20260522112949.csv,23-April26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
23-March26-20260522112753.csv,23-March26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
19-Nov24-hotifx-20260522141615.csv,19-Nov24-hotifx,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
24-Feb25-20260522141836.csv,24-Feb25,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
24-Feb26-20260522112704.csv,24-Feb26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
24-Feb26-20260522112710.csv,24-Feb26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
18-Nov24-20260522141606.csv,18-Nov24,,Stage,,False,0,0,0,75,25,WATCH,AT_RISK
27-Feb26-20260522112720.csv,27-Feb26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
19th Nov Release-20260522143421.csv,19th Nov Release,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
18-March26-02-20260522112743.csv,18-March26-02,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
17-March26_02-20260522112734.csv,17-March26_02,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
26-Feb26-20260522112716.csv,26-Feb26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
26-Jun25-20260522142957.csv,26-Jun25,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
17-March26-20260522112730.csv,17-March26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
17-Apr26-20260522112922.csv,17-Apr26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
16-Feb26-20260522112653.csv,16-Feb26,,Stage,Good,False,0,0,0,75,25,WATCH,AT_RISK
03-April26-02-20260522112839.csv,03-April26-02,,Stage,Prod release owner:,False,45,5,3,66,24,STABLE,AT_RISK
03-April26-02-20260522112843.csv,03-April26-02,,Stage,Prod release owner:,False,45,5,3,66,24,STABLE,AT_RISK
22-Aug25-20260522143052.csv,22-Aug25,,Stage,Good,False,45,15,3,76,24,STABLE,AT_RISK
8-Dec25 Release-20260522143509.csv,8-Dec25 Release,,Stage,Good,False,149,139,3,76,24,STABLE,AT_RISK
28-Nov25-20260522143443.csv,28-Nov25,,Stage,Good,False,87,67,2,84,16,STABLE,HEALTHY
10 Oct25-20260522143236.csv,10 Oct25,,Stage,Good,False,69,67,1,92,8,STABLE,HEALTHY
12-Dec25-20260522143516.csv,12-Dec25,,Stage,Good,False,177,141,1,92,8,STABLE,HEALTHY
15-May26-20260522113056.csv,15-May26,,Stage,Good,False,23,9,1,92,8,STABLE,HEALTHY
30-April26-20260522113019.csv,30-April26,,Stage,Good,False,54,5,0,100,0,STABLE,HEALTHY
